axis,size,objective,seed,dir1_auc,mag_r2,vol20_r2,regime_bacc,effective_rank,supervised_sharpe
feature,24,predictive,777,0.5261773627075351,-0.05382779927344594,0.09798550446754117,0.6706031544741222,2.593270778656006,0.7838740302077462
feature,24,predictive,888,0.5287875159642401,0.0015062189753477506,-0.2929842561636662,0.6120729023954831,3.0082154273986816,0.4846368149792294
feature,24,predictive,999,0.5343350893997446,-0.0292924732865949,-0.12241120186134613,0.5862775217613927,2.9229254722595215,0.6339210831713611
feature,32,predictive,20260814,0.5219867496807151,-0.04886521651513531,0.07691158997789749,0.6275307565630146,3.0772922039031982,0.7414287266807976
feature,32,predictive,111,0.5302522349936143,0.01655628930911035,0.013790943149791346,0.6051673793609278,3.220257043838501,1.3129731495196615
feature,32,predictive,222,0.5260456577266922,-0.02282279829094458,-0.03679508515394092,0.6419054160989645,2.6474578380584717,0.13904550497949186
feature,32,predictive,333,0.536286717752235,-0.015723585269599827,-0.1504534533238806,0.5907751069041391,3.251929521560669,0.8007532843093735
feature,32,predictive,444,0.5293622286079183,0.03853968247585826,-0.08870012676914141,0.6660539886346338,3.413820505142212,0.9595273859705652
feature,32,predictive,555,0.5140086206896552,0.00018355639769473964,0.005151267185832253,0.598026598026598,3.615434169769287,0.36872867566429607
feature,32,predictive,666,0.5242616538952746,-0.137620150929334,-0.18524105845443084,0.5803822255435159,3.0461623668670654,0.2814284708653241
feature,32,predictive,777,0.5330459770114943,0.037658548127276315,0.06673537855398781,0.6451159999547097,3.398698568344116,0.03999132093789209
feature,32,predictive,888,0.522896711366539,-0.08114204686114257,-0.20284440551424532,0.6119621926073538,3.392637252807617,0.07084550884546535
feature,32,predictive,999,0.5173611111111112,-0.047250890697180026,-0.12076530054795676,0.617207068819972,3.0263545513153076,0.0993807270572591
feature,4,contrastive,20260814,0.5300925925925926,0.08910516521318135,0.16901346245690596,0.8378239991143217,5.177664756774902,1.0713633492781625
feature,4,contrastive,111,0.5245649744572158,0.0024471316573271285,0.18677313711193733,0.8516488839069485,4.947959899902344,1.0612202952453675
feature,4,contrastive,222,0.501867816091954,0.012590855609410201,0.2278902949199788,0.884446658640207,4.188627243041992,1.0480478880314281
feature,4,contrastive,333,0.5140724776500638,0.007003213029748823,0.2123614608138269,0.8508600766665282,5.164874076843262,0.32439817761791756
feature,4,contrastive,444,0.5169021392081737,0.025441115042005524,0.07857496789436624,0.8508600766665282,4.502889633178711,1.2025250708558617
feature,4,contrastive,555,0.5081257982120051,0.039037354106312594,0.1666630206870653,0.8541536928633703,4.546492099761963,0.5443606571150246
feature,4,contrastive,666,0.5223978288633461,0.0753451646817056,0.09642963301648477,0.8621524750557009,4.6187520027160645,1.0936425568965482
feature,4,contrastive,777,0.5253352490421456,0.05132601020585614,0.22266835965643228,0.8620140878205395,4.686460494995117,1.0180682757839488
feature,4,contrastive,888,0.5211645913154535,0.04312579174059705,0.11768454288819741,0.8613636678152807,4.566866874694824,1.449572978064654
feature,4,contrastive,999,0.5163274265644956,0.045280991012069505,0.15865144557186317,0.8655844784877043,4.3683600425720215,0.4658448242302874
feature,8,contrastive,20260814,0.5141722541507024,0.050193603360099925,-0.05366777448072124,0.6655029558255365,5.3433942794799805,0.3167862156581613
feature,8,contrastive,111,0.5230124521072796,0.04556330849415491,0.039148967399276424,0.797256410159636,5.033206462860107,1.115427331038663
feature,8,contrastive,222,0.5139647190293742,-0.0032726204724147223,0.029402956595480423,0.9104219426800072,5.019715309143066,0.3315120220613716
feature,8,contrastive,333,0.5149185823754788,0.033370849640121714,0.03748970418576392,0.8045494174526433,5.199192523956299,0.9153637415099438
feature,8,contrastive,444,0.49513489782886333,0.012566161882000104,0.03736841438086813,0.8497051722858174,4.774702548980713,0.21742914967752633
feature,8,contrastive,555,0.5086725734355044,0.0015835273314324105,-0.10295406225026005,0.8333478010897366,5.335482597351074,0.20444876884853289
