rep,algo,seed,metric,group,value
auto,CQL,20260814,sharpe_year,2021,1.887804381116583
auto,CQL,20260814,sharpe_year,2022,-0.8953388107977018
auto,CQL,20260814,sharpe_year,2023,1.6812781549657323
auto,CQL,20260814,sharpe_year,2024,1.7999872673934652
auto,CQL,111,divergence,all,0.6437631249427795
auto,CQL,111,corr_behavior,all,0.7796100622616153
auto,CQL,111,action_std,all,0.4677000045776367
auto,CQL,111,behavior_action_std,all,0.4643709659576416
auto,CQL,111,js_divergence,all,0.4598352434099821
auto,CQL,111,sharpe,all,0.6540189232930949
auto,CQL,111,sharpe_regime,bull,0.713582454778977
auto,CQL,111,sharpe_regime,bear,0.5178957491229575
auto,CQL,111,sharpe_regime,crisis,2.7198561157865915
auto,CQL,111,sharpe_year,2021,1.5724266190134875
auto,CQL,111,sharpe_year,2022,-1.1080417934698663
auto,CQL,111,sharpe_year,2023,1.2290468613370942
auto,CQL,111,sharpe_year,2024,1.9151427470810898
auto,CQL,222,divergence,all,0.876181423664093
auto,CQL,222,corr_behavior,all,0.6385298982941933
auto,CQL,222,action_std,all,0.1768842488527298
auto,CQL,222,behavior_action_std,all,0.4643709659576416
auto,CQL,222,js_divergence,all,0.6632221547215137
auto,CQL,222,sharpe,all,0.8291154210147716
auto,CQL,222,sharpe_regime,bull,0.9504283684717736
auto,CQL,222,sharpe_regime,bear,0.6164322689103856
auto,CQL,222,sharpe_regime,crisis,0.4494594932626696
auto,CQL,222,sharpe_year,2021,1.887944165335
auto,CQL,222,sharpe_year,2022,-0.8714669689216569
auto,CQL,222,sharpe_year,2023,1.6673286283485518
auto,CQL,222,sharpe_year,2024,1.7953713585120656
predictive,BC,20260814,divergence,all,0.04581453278660774
predictive,BC,20260814,corr_behavior,all,0.9519782714415834
predictive,BC,20260814,action_std,all,0.17224983870983124
predictive,BC,20260814,behavior_action_std,all,0.4643709659576416
predictive,BC,20260814,js_divergence,all,0.4223525741743521
predictive,BC,20260814,sharpe,all,0.6399445352763349
predictive,BC,20260814,sharpe_regime,bull,0.3466133480929005
predictive,BC,20260814,sharpe_regime,bear,1.2066899376890585
predictive,BC,20260814,sharpe_regime,crisis,2.665074997478197
predictive,BC,20260814,sharpe_year,2021,2.063764672911812
predictive,BC,20260814,sharpe_year,2022,-0.07430984500952069
predictive,BC,20260814,sharpe_year,2023,0.4428292053062782
predictive,BC,20260814,sharpe_year,2024,1.1959020114401895
predictive,BC,111,divergence,all,0.04766008257865906
predictive,BC,111,corr_behavior,all,0.9477805859590992
predictive,BC,111,action_std,all,0.18957462906837463
predictive,BC,111,behavior_action_std,all,0.4643709659576416
predictive,BC,111,js_divergence,all,0.3966610791420787
predictive,BC,111,sharpe,all,0.635548885623731
predictive,BC,111,sharpe_regime,bull,0.357856421861058
predictive,BC,111,sharpe_regime,bear,1.17959276625141
predictive,BC,111,sharpe_regime,crisis,2.9650363245438385
predictive,BC,111,sharpe_year,2021,2.0945628761015764
predictive,BC,111,sharpe_year,2022,-0.1483153639503356
predictive,BC,111,sharpe_year,2023,0.5103870525777227
predictive,BC,111,sharpe_year,2024,1.2831048630256627
predictive,BC,222,divergence,all,0.040022581815719604
predictive,BC,222,corr_behavior,all,0.9626573588735037
predictive,BC,222,action_std,all,0.1862558126449585
predictive,BC,222,behavior_action_std,all,0.4643709659576416
predictive,BC,222,js_divergence,all,0.4011757228173463
predictive,BC,222,sharpe,all,0.6096285713453664
predictive,BC,222,sharpe_regime,bull,0.38643624721804243
predictive,BC,222,sharpe_regime,bear,1.0522420245817217
predictive,BC,222,sharpe_regime,crisis,2.986479366473282
predictive,BC,222,sharpe_year,2021,2.0463495947074213
predictive,BC,222,sharpe_year,2022,-0.21759455505648662
predictive,BC,222,sharpe_year,2023,0.3469015671330364
predictive,BC,222,sharpe_year,2024,1.2763923665409
predictive,A2C,20260814,divergence,all,0.280809611082077
predictive,A2C,20260814,corr_behavior,all,0.8149331446659824
predictive,A2C,20260814,action_std,all,0.3602696657180786
predictive,A2C,20260814,behavior_action_std,all,0.4643709659576416
predictive,A2C,20260814,js_divergence,all,0.3382951522937808
predictive,A2C,20260814,sharpe,all,0.5635698057724776
predictive,A2C,20260814,sharpe_regime,bull,0.5290665894476343
predictive,A2C,20260814,sharpe_regime,bear,0.7016346475729038
predictive,A2C,20260814,sharpe_regime,crisis,2.6204076608389237
predictive,A2C,20260814,sharpe_year,2021,2.060505719825421
predictive,A2C,20260814,sharpe_year,2022,-0.7820513960940757
predictive,A2C,20260814,sharpe_year,2023,1.082317674896303
predictive,A2C,20260814,sharpe_year,2024,1.4756115732687523
predictive,A2C,111,divergence,all,0.17141439020633698
predictive,A2C,111,corr_behavior,all,-0.304550767248584
predictive,A2C,111,action_std,all,0.057581160217523575
predictive,A2C,111,behavior_action_std,all,0.4643709659576416
predictive,A2C,111,js_divergence,all,0.6226141653291575
predictive,A2C,111,sharpe,all,0.6344231961213804
predictive,A2C,111,sharpe_regime,bull,0.8676460621133418
predictive,A2C,111,sharpe_regime,bear,0.6032260887171207
predictive,A2C,111,sharpe_regime,crisis,1.0290838456311537
predictive,A2C,111,sharpe_year,2021,1.2404727749420608
predictive,A2C,111,sharpe_year,2022,0.7603575106638435
predictive,A2C,111,sharpe_year,2023,1.0762323526844633
predictive,A2C,111,sharpe_year,2024,-0.1389387582677219
predictive,A2C,222,divergence,all,0.137944757938385
predictive,A2C,222,corr_behavior,all,0.23261633505393012
predictive,A2C,222,action_std,all,0.08756774663925171
predictive,A2C,222,behavior_action_std,all,0.4643709659576416
predictive,A2C,222,js_divergence,all,0.5858231125836246
predictive,A2C,222,sharpe,all,0.7445339222925645
predictive,A2C,222,sharpe_regime,bull,0.9235021608874054
predictive,A2C,222,sharpe_regime,bear,0.8242330989989005
predictive,A2C,222,sharpe_regime,crisis,-2.261947641028122
predictive,A2C,222,sharpe_year,2021,1.7078218843833568
predictive,A2C,222,sharpe_year,2022,0.10421553391051389
predictive,A2C,222,sharpe_year,2023,1.027874975494655
predictive,A2C,222,sharpe_year,2024,2.32356369847646
predictive,IQL,20260814,divergence,all,0.04755713790655136
predictive,IQL,20260814,corr_behavior,all,0.9475936274610699
predictive,IQL,20260814,action_std,all,0.16964839398860931
predictive,IQL,20260814,behavior_action_std,all,0.4643709659576416
predictive,IQL,20260814,js_divergence,all,0.4230900188605881
predictive,IQL,20260814,sharpe,all,0.6430685440234303
predictive,IQL,20260814,sharpe_regime,bull,0.40249369717187483
predictive,IQL,20260814,sharpe_regime,bear,1.1070615571099742
predictive,IQL,20260814,sharpe_regime,crisis,3.0066303328752237
predictive,IQL,20260814,sharpe_year,2021,2.014234735886715
predictive,IQL,20260814,sharpe_year,2022,-0.13410705650495172
predictive,IQL,20260814,sharpe_year,2023,0.5751080648120179
predictive,IQL,20260814,sharpe_year,2024,1.2790742118887157
predictive,IQL,111,divergence,all,0.06908883899450302
predictive,IQL,111,corr_behavior,all,0.9261104502288448
predictive,IQL,111,action_std,all,0.22392638027668
predictive,IQL,111,behavior_action_std,all,0.4643709659576416
predictive,IQL,111,js_divergence,all,0.34617343531245304
predictive,IQL,111,sharpe,all,0.6249365027343784
predictive,IQL,111,sharpe_regime,bull,0.2876921506322409
predictive,IQL,111,sharpe_regime,bear,1.2768556029702085
predictive,IQL,111,sharpe_regime,crisis,3.53073934061849
predictive,IQL,111,sharpe_year,2021,1.8834354634916302
predictive,IQL,111,sharpe_year,2022,-0.04858228342751255
predictive,IQL,111,sharpe_year,2023,0.3040827409891357
predictive,IQL,111,sharpe_year,2024,1.2719654358842913
predictive,IQL,222,divergence,all,0.041457775980234146
predictive,IQL,222,corr_behavior,all,0.960586303760307
predictive,IQL,222,action_std,all,0.1893230676651001
predictive,IQL,222,behavior_action_std,all,0.4643709659576416
predictive,IQL,222,js_divergence,all,0.3916363332936779
predictive,IQL,222,sharpe,all,0.6093260208198397
predictive,IQL,222,sharpe_regime,bull,0.38578709190380334
predictive,IQL,222,sharpe_regime,bear,1.0535768938517562
predictive,IQL,222,sharpe_regime,crisis,3.0003722410323954
predictive,IQL,222,sharpe_year,2021,2.07584132594178
predictive,IQL,222,sharpe_year,2022,-0.21640585393072276
predictive,IQL,222,sharpe_year,2023,0.3155085777699865
predictive,IQL,222,sharpe_year,2024,1.2805615498923637
predictive,CQL,20260814,divergence,all,0.7427482008934021
predictive,CQL,20260814,corr_behavior,all,0.742990354407864
predictive,CQL,20260814,action_std,all,0.39281243085861206
predictive,CQL,20260814,behavior_action_std,all,0.4643709659576416
predictive,CQL,20260814,js_divergence,all,0.5412383072401358
predictive,CQL,20260814,sharpe,all,0.6580204392402828
predictive,CQL,20260814,sharpe_regime,bull,0.8240208557646765
predictive,CQL,20260814,sharpe_regime,bear,0.30124735515591317
predictive,CQL,20260814,sharpe_regime,crisis,2.671972930466936
predictive,CQL,20260814,sharpe_year,2021,1.6811536546468264
