objective,dim,algo,seed,val_sharpe,test_sharpe,test_turnover
contrastive,64,BC,20260814,0.1325322960330081,0.6550077875968782,0.05938012573001582
contrastive,64,BC,111,0.004817691181622482,0.49074458024515166,0.05487670789893244
contrastive,64,BC,222,0.04440882387717703,0.5280752910891047,0.05748788355525342
contrastive,64,A2C,20260814,1.030279146162065,0.341863241765715,0.13711954779292815
contrastive,64,A2C,111,0.9045822782325333,0.18643500658636952,0.02264166086522946
contrastive,64,A2C,222,1.2877047502854229,0.48931855723123174,0.04608598662527574
contrastive,64,IQL,20260814,0.005280841437502091,0.6641677651326519,0.047658576778673675
contrastive,64,IQL,111,0.06628892450812039,0.5748276647789423,0.05694332508861426
contrastive,64,IQL,222,-0.008570679846563154,0.5135957537308828,0.036510057136444236
contrastive,64,CQL,20260814,0.5103727051419048,0.6543080226407807,0.04412263871462487
contrastive,64,CQL,111,0.6844526505336905,0.7318598513004252,0.03347644774030097
contrastive,64,CQL,222,0.9040377436171448,0.7844350378432448,0.011135972139254139
contrastive,128,BC,20260814,0.18238821330329752,0.6036568627300597,0.05610512597793343
contrastive,128,BC,111,0.08311612225607891,0.7236840446292794,0.05297872317510087
contrastive,128,BC,222,0.25785829169254465,0.47406738263670284,0.05266072479197153
contrastive,128,A2C,20260814,1.2192962577742146,0.6481126996191154,0.20767370912348343
contrastive,128,A2C,111,1.084794570079096,0.7049984673733752,0.15941573508936374
contrastive,128,A2C,222,0.8946922816700021,1.26496819215275,0.25779977592811065
contrastive,128,IQL,20260814,0.1286188449936574,0.6076620705654576,0.055297059093634436
contrastive,128,IQL,111,0.13213454257717303,0.6725699236571909,0.05176181394029965
contrastive,128,IQL,222,0.02461509005453584,0.57002061542369,0.05215528538735555
contrastive,128,CQL,20260814,0.9976693261221314,0.801706623185381,0.009939878615573864
contrastive,128,CQL,111,0.7051755547429299,0.6365704914029018,0.04627870581325941
contrastive,128,CQL,222,1.0174783669206036,0.7864634163553438,0.022553773572788902
