model,feature,lag,ik,da,dh,dh_rel
DDR,macd,6,0.00030152886756695807,0.010638449341058731,0.08583349734544754,0.04206117074255282
DDR,macd,7,0.0001715641119517386,0.00795489177107811,0.07087540626525879,0.03473122564694097
DDR,macd,8,0.00011511622869875282,0.006326118018478155,0.05574161559343338,0.027315182107810237
DDR,macd,9,7.366206409642473e-05,0.0049974191933870316,0.046101827174425125,0.022591376144479133
DDR,macd,10,7.76085362304002e-05,0.004343952517956495,0.03873588889837265,0.018981829789153082
DDR,macd,11,5.3129195293877274e-05,0.003813978750258684,0.03230928257107735,0.01583258626084106
DDR,macd,12,2.9355669539654627e-05,0.0029661054722964764,0.026692520827054977,0.013080192591213966
DDR,macd,13,2.0529974790406413e-05,0.0024070884101092815,0.021921800449490547,0.010742386366703223
DDR,macd,14,1.94317071873229e-05,0.002208390738815069,0.01930750161409378,0.00946129596390709
DDR,macd,15,1.6124646208481863e-05,0.0019183142576366663,0.016798174008727074,0.008231644835588848
DDR,macd,16,9.28729696170194e-06,0.0014874421758577228,0.013502008281648159,0.0066164177537371
DDR,macd,17,9.635607966629323e-06,0.0013714429223909974,0.012557920999825,0.006153784660775491
DDR,macd,18,8.844491276249755e-06,0.0012225210666656494,0.011037788353860378,0.005408870836328634
DDR,macd,19,6.455841230490478e-06,0.0010578935034573078,0.009842613711953163,0.004823196871791115
DDR,macd,20,6.03990474701277e-06,0.0009923812467604876,0.009923036210238934,0.004862606479188639
DDR,volz,1,0.011233514174818993,0.0743250623345375,0.29936155676841736,0.14669677855857113
DDR,volz,2,0.0005731682758778334,0.016332359984517097,0.1363522857427597,0.06681699976271266
DDR,volz,3,0.00027958815917372704,0.009196544997394085,0.09010564535856247,0.04415466049392452
DDR,volz,4,0.00021517062850762159,0.009674717672169209,0.05848667770624161,0.028660350716763153
DDR,volz,5,0.00017962609126698226,0.008201119489967823,0.04660759121179581,0.02283921676835206
DDR,volz,6,9.090532694244757e-05,0.004954504780471325,0.0351087711751461,0.017204425598735775
DDR,volz,7,5.004538252251223e-05,0.003648808691650629,0.02964385412633419,0.014526440707139638
DDR,volz,8,4.034109952044673e-05,0.0029339336324483156,0.023085545748472214,0.011312658943670603
DDR,volz,9,4.0040806197794154e-05,0.002574492944404483,0.019622301682829857,0.009615558109227651
DDR,volz,10,2.982992009492591e-05,0.0022459698375314474,0.01677633263170719,0.008220941859285921
DDR,volz,11,2.9991468181833625e-05,0.002099469071254134,0.015242358669638634,0.007469245345353555
DDR,volz,12,9.2611644504359e-06,0.001274293870665133,0.010704888962209225,0.005245739441414387
DDR,volz,13,1.3633502021548338e-05,0.0013802204048261046,0.010786598548293114,0.005285779763175318
DDR,volz,14,1.2090239579265472e-05,0.0012142319465056062,0.00925969798117876,0.004537549439973839
DDR,volz,15,7.858749995648395e-06,0.0010149602312594652,0.008066593669354916,0.003952890003677895
DDR,volz,16,5.403926934377523e-06,0.0008210267405956984,0.006634943187236786,0.0032513352816364717
DDR,volz,17,7.596850991831161e-06,0.0008434360497631133,0.0068365540355443954,0.0033501310732152365
DDR,volz,18,4.316038939577993e-06,0.0006963449995964766,0.006011522840708494,0.0029458392870578623
DDR,volz,19,4.668474048230564e-06,0.000607018475420773,0.004845506977289915,0.002374454060583979
DDR,volz,20,5.271240752335871e-06,0.0007472256547771394,0.006159335840493441,0.0030182724048289085
DDR,boll,1,0.009311703965067863,0.07959698885679245,0.2641623318195343,0.12944802770525385
DDR,boll,2,0.0008840133668854833,0.01891373284161091,0.1425056755542755,0.06983235842235114
DDR,boll,3,0.000255534949246794,0.011361846700310707,0.07534372806549072,0.03692084685526512
DDR,boll,4,0.0001042924850480631,0.0069017172791063786,0.05066284164786339,0.024826419740040094
DDR,boll,5,5.957436951575801e-05,0.005103802774101496,0.04003284499049187,0.019617379933599268
DDR,boll,6,3.115027357125655e-05,0.0033740035723894835,0.02862967550754547,0.014029460607672899
DDR,boll,7,2.3669455913477577e-05,0.002903913613408804,0.023565953597426414,0.011548074220757607
DDR,boll,8,1.5216084648272954e-05,0.0024840673431754112,0.019173748791217804,0.009395752784446008
DDR,boll,9,1.0685032975743525e-05,0.002049072878435254,0.01631358452141285,0.007994180421387732
DDR,boll,10,7.637864655407611e-06,0.0014894858468323946,0.012404142878949642,0.006078428442065496
DDR,boll,11,5.67074175705784e-06,0.001263454556465149,0.010615774430334568,0.005202070458362965
DDR,boll,12,4.0676513890502974e-06,0.0011079831747338176,0.009516499936580658,0.004663390646813041
DDR,boll,13,3.0366704777406994e-06,0.0009145209915004671,0.007319299969822168,0.003586692087212035
DDR,boll,14,2.704434336919803e-06,0.0007932886946946383,0.006587618961930275,0.0032281448911428267
DDR,boll,15,1.796108790586004e-06,0.000665346859022975,0.005881686694920063,0.002882215405176603
DDR,boll,16,1.3458072771754814e-06,0.0005624117329716682,0.004873249679803848,0.0023880488759344723
DDR,boll,17,1.3246440175862517e-06,0.0005068524042144418,0.0042878445237874985,0.0021011815457862336
DDR,boll,18,1.2747362916343263e-06,0.00045577515265904367,0.003807232715189457,0.0018656663219223943
DDR,boll,19,1.3092641211187583e-06,0.0004456603492144495,0.003602352924644947,0.0017652686436464065
DDR,boll,20,2.792300165310735e-06,0.0005017644143663347,0.003984321840107441,0.0019524456813821034
TACR,ret_1d,1,0.00019185942073818296,0.008820882067084312,0.5570353269577026,0.26578731672467504
TACR,ret_1d,2,2.699513323989322e-08,6.949459202587605e-05,0.003287574974820018,0.0015686540669887416
TACR,ret_1d,3,1.9121356942264356e-08,8.449231245322153e-05,0.003275719005614519,0.0015629970357560724
TACR,ret_1d,4,3.7847271983082464e-08,0.00011797060869866982,0.0036193819250911474,0.001726974508646938
TACR,ret_1d,5,5.9326495716049976e-08,0.00016096899344120175,0.004235873464494944,0.0020211311341100146
TACR,ret_1d,6,6.66934525384022e-08,0.00016986479749903083,0.004345558118075132,0.0020734667551202193
TACR,ret_1d,7,5.843482853151727e-08,0.00017120997654274106,0.004536899738013744,0.002164764691319332
TACR,ret_1d,8,6.898378757114187e-08,0.00017826800467446446,0.004697142634540796,0.0022412239882991605
TACR,ret_1d,9,6.306414235268676e-08,0.00017580727580934763,0.004942142870277166,0.0023581249317436814
TACR,ret_1d,10,5.556530524586378e-08,0.00016507983673363924,0.005109707824885845,0.002438077921270887
TACR,ret_1d,11,5.707025962919943e-08,0.00015249480202328414,0.004917503334581852,0.0023463682697137046
TACR,ret_1d,12,6.154063214580674e-08,0.00017866084817796946,0.005986774805933237,0.0028565671412519003
TACR,ret_1d,13,5.600393038207585e-08,0.00015898063429631293,0.005559451412409544,0.002652671386993986
TACR,ret_1d,14,5.2450278786864146e-08,0.00015359625103883445,0.005893734749406576,0.0028121734272891037
TACR,ret_1d,15,7.4087125767619e-08,0.00017942259728442878,0.006591382436454296,0.0031450534041701198
TACR,ret_1d,16,6.340383151837159e-08,0.00017644693434704095,0.006536301225423813,0.0031187716109458107
TACR,ret_1d,17,6.715597322681788e-08,0.0001836013252614066,0.007202885113656521,0.0034368296127477776
