representation,rep,seed,target,family,val_accuracy,val_balanced_accuracy,val_auc,val_log_loss,test_accuracy,test_balanced_accuracy,test_auc,test_log_loss,val_r2,val_mae,val_spearman,test_r2,test_mae,test_spearman
raw window (160d),raw,888,magnitude_1,gbdt,,,,,,,,,0.3206052741276817,0.6438899129542421,0.4923530666502926,0.0763210566078264,0.5284407228132881,0.3588453061427162
raw window (160d),raw,888,magnitude_1,mlp,,,,,,,,,0.179323917100843,0.6922217674561213,0.3590736797066434,-0.0707289429590782,0.5733240137198623,0.2416643221363568
raw window (160d),raw,888,vol_20,linear,,,,,,,,,0.3393606757668627,0.6206503081463834,0.4699392299478395,0.3796492482466701,0.332780224112701,0.5688249709125731
raw window (160d),raw,888,vol_20,gbdt,,,,,,,,,0.0930902238495257,0.7162793857172186,0.5633372654035591,0.2884100298264345,0.3516651059536139,0.5859980923971884
raw window (160d),raw,888,vol_20,mlp,,,,,,,,,0.0864923414223705,0.7245657172223758,0.4070632839681484,0.0576496682164394,0.4175757776671008,0.4470166583751072
raw window (160d),raw,999,direction_1,linear,0.5445544554455446,0.5262317591084714,0.5368010984449341,0.6995336863890406,0.5298804780876494,0.5168582375478927,0.5207335568326947,0.7057064858051616,,,,,,
raw window (160d),raw,999,direction_1,gbdt,0.5148514851485149,0.4967988632372194,0.5195421017338826,0.7286867033349841,0.5398406374501992,0.528544061302682,0.5243574393358876,0.7325104746756254,,,,,,
raw window (160d),raw,999,direction_1,mlp,0.5485148514851486,0.528123702781237,0.5573809751891944,0.717825918625796,0.5219123505976095,0.5100574712643677,0.4991219667943806,0.7263783833637995,,,,,,
raw window (160d),raw,999,magnitude_1,linear,,,,,,,,,0.3062075315526649,0.6656110367726962,0.3873282604812096,0.0104753380810854,0.5407963737018369,0.3249194034265147
raw window (160d),raw,999,magnitude_1,gbdt,,,,,,,,,0.3206052741276817,0.6438899129542421,0.4923530666502926,0.0763210566078264,0.5284407228132881,0.3588453061427162
raw window (160d),raw,999,magnitude_1,mlp,,,,,,,,,0.179323917100843,0.6922217674561213,0.3590736797066434,-0.0707289429590782,0.5733240137198623,0.2416643221363568
raw window (160d),raw,999,vol_20,linear,,,,,,,,,0.3393606757668627,0.6206503081463834,0.4699392299478395,0.3796492482466701,0.332780224112701,0.5688249709125731
raw window (160d),raw,999,vol_20,gbdt,,,,,,,,,0.0930902238495257,0.7162793857172186,0.5633372654035591,0.2884100298264345,0.3516651059536139,0.5859980923971884
raw window (160d),raw,999,vol_20,mlp,,,,,,,,,0.0864923414223705,0.7245657172223758,0.4070632839681484,0.0576496682164394,0.4175757776671008,0.4470166583751072
replab auto (128d),auto,20260814,direction_1,linear,0.5465346534653466,0.5290497174058818,0.5464444231567519,0.7173451709873917,0.5159362549800797,0.4998004469987228,0.4813817049808429,0.7247541270946709,,,,,,
replab auto (128d),auto,20260814,direction_1,gbdt,0.5346534653465347,0.5217693265638471,0.5378708049940927,0.7233130457560955,0.5229083665338645,0.5129549808429119,0.5083772349936143,0.7535196681906572,,,,,,
replab auto (128d),auto,20260814,direction_1,mlp,0.5366336633663367,0.516564485742568,0.493454034549925,0.7570603211838948,0.500996015936255,0.487883141762452,0.4909123563218391,0.7502453605387848,,,,,,
replab auto (128d),auto,20260814,magnitude_1,linear,,,,,,,,,0.1670916421892542,0.6635137954660254,0.3885684466405131,0.0286007200551074,0.540386191936079,0.298448883291402
replab auto (128d),auto,20260814,magnitude_1,gbdt,,,,,,,,,0.2737997024440231,0.6645020219698692,0.4254310468026085,0.0131105350928601,0.5441268044934651,0.3414349279610622
replab auto (128d),auto,20260814,magnitude_1,mlp,,,,,,,,,0.266483411638953,0.6640860051855808,0.3709500694855994,0.0486836153326393,0.5323509454559318,0.301598724969169
replab auto (128d),auto,20260814,vol_20,linear,,,,,,,,,0.0583974801992631,0.7432797068123842,0.3418112308125223,0.0614597437901656,0.4212935559880143,0.4235373475531278
replab auto (128d),auto,20260814,vol_20,gbdt,,,,,,,,,0.0727772520528268,0.7741156082555466,0.32471706798009,0.265227341690465,0.37653090914832,0.5069892949730046
replab auto (128d),auto,20260814,vol_20,mlp,,,,,,,,,-0.0109410502545397,0.7765358458645889,0.3073935033254878,-0.1986120603803522,0.474986548657735,0.2964745887767359
replab auto (128d),auto,111,direction_1,linear,0.5544554455445545,0.5226713925344062,0.508749241625954,0.710548001641122,0.545816733067729,0.5295498084291188,0.514463601532567,0.7045638533944711,,,,,,
replab auto (128d),auto,111,direction_1,gbdt,0.5346534653465347,0.5206996200146885,0.5202286298176709,0.7546944756250565,0.5049800796812749,0.4988665389527458,0.4991938058748403,0.7642801201914429,,,,,,
replab auto (128d),auto,111,direction_1,mlp,0.5524752475247525,0.5262716735319475,0.5547945205479452,0.6850967318042138,0.5408366533864541,0.5235552362707535,0.5050846104725416,0.7020876364605326,,,,,,
replab auto (128d),auto,111,magnitude_1,linear,,,,,,,,,0.0485986297922848,0.7026962874518781,0.2839470503870353,0.0323037458091208,0.5442570132847172,0.2799333292266073
