algo,rep,seed,val_sharpe,test_sharpe,test_return,test_maxdd,test_turnover
buy_and_hold,(baseline),0,,0.7842636812334275,,,
constant_mean,(baseline),0,,0.7842636732407716,,,
behavior_mean,(baseline),0,,0.7254521049492096,,,
random,(baseline),0,,-0.456185819157323,,,
CQL,raw,20260814,0.6058756734451547,0.637592534137844,0.3753403425216675,-0.25497109523870565,0.03838133854300377
CQL,raw,111,0.41895294034159564,0.25361773994134995,0.04501509666442871,-0.088917925878638,0.08223774530507846
CQL,raw,222,0.6838810628064904,0.6237153503099772,0.36175036430358887,-0.24947893248205844,0.038512689254214215
CQL,raw,333,0.4413069664609734,0.5954624481203389,0.33129656314849854,-0.24045757354293118,0.045516535206999054
CQL,raw,444,0.5142528633421857,0.5844803917511464,0.32598745822906494,-0.25608178615397026,0.047531891448784676
CQL,raw,555,0.30975967585732544,0.5829919103148263,0.3092838525772095,-0.24367352654228647,0.0532666018209536
CQL,raw,666,0.5596592190543667,0.6602626015483039,0.4077033996582031,-0.274882326997958,0.032747004985512786
CQL,raw,777,0.5871766696145757,0.6420268607426087,0.09539926052093506,-0.04721370755015186,0.10441051481902108
CQL,raw,888,0.4173546066059563,0.6381230732296566,0.3580615520477295,-0.2376630561636417,0.04912804195319131
CQL,raw,999,0.41174119506737306,0.5194045302633828,0.26593053340911865,-0.25799237474831316,0.05412609227168471
CQL,auto,20260814,0.5765170016672506,0.8219013673605505,0.5792583227157593,-0.2555071048076877,0.022057210712401725
CQL,auto,111,0.03152608109314921,0.6540189232930949,0.3738088607788086,-0.23177398247298286,0.07008669216612085
CQL,auto,222,0.5790951249535352,0.8291154210147716,0.5844749212265015,-0.24528842861015387,0.021464573124896233
CQL,auto,333,0.17906249249413503,0.8770510745486934,0.1267184019088745,-0.046314212609710026,0.05536730592741413
CQL,auto,444,-0.014430470740732884,0.6124123489315404,0.3370710611343384,-0.2284500027488121,0.09076347121255315
CQL,auto,555,0.17146491219430762,0.7521930085843954,0.46701300144195557,-0.23294191287213573,0.04688063632344725
CQL,auto,666,0.3500015590725878,0.7728640764570998,0.5076606273651123,-0.2502475845615605,0.035325558417805686
CQL,auto,777,0.21230861841783372,0.6995748123032776,0.42608964443206787,-0.2227261520976741,0.05174400452570758
CQL,auto,888,0.6097713072135669,0.8386161385948484,0.5881098508834839,-0.24999174630200804,0.026525880485328276
CQL,auto,999,0.8017635486616203,0.8247453189847793,0.6126000881195068,-0.2493094853059653,0.009426285378375457
CQL,predictive,20260814,0.3531212116917342,0.6580204392402828,0.4013681411743164,-0.2537476680780687,0.048420130945186116
CQL,predictive,111,0.210250315775436,0.5497662111253901,0.2844407558441162,-0.22992679030975538,0.09433390115994719
CQL,predictive,222,0.7740702490924385,0.7937643813698395,0.5703005790710449,-0.25326828616521857,0.012415045054990853
CQL,predictive,333,0.19517030924216858,0.5535806210825182,0.2796039581298828,-0.2253070974550353,0.09838301791457357
CQL,predictive,444,0.14518738233922987,0.4988970980727044,0.25900936126708984,-0.24189677914288987,0.11188966217473965
CQL,predictive,555,0.21320712143429507,0.5419583924857279,0.28531479835510254,-0.2361483298207503,0.09761126842627775
CQL,predictive,666,0.790160067699765,0.793142250015348,0.5613313913345337,-0.2537281375399668,0.01500039255589395
CQL,predictive,777,0.7023649727603182,0.775349502424903,0.5337092876434326,-0.2570910228412372,0.021095385902853155
CQL,predictive,888,0.7128276921899985,0.7975014087023433,0.5635334253311157,-0.25441922838052644,0.01674661671752064
CQL,predictive,999,0.939607432943595,0.7934294704932474,0.5876381397247314,-0.24963070865231152,0.006453703173357456
CQL,contrastive,20260814,0.9976693261221314,0.801706623185381,0.5954850912094116,-0.24834050422563037,0.009939878615573864
CQL,contrastive,111,0.7051755547429299,0.6365704914029018,0.3803771734237671,-0.24591301407142496,0.04627870581325941
CQL,contrastive,222,1.0174783669206036,0.7864634163553438,0.5649224519729614,-0.2532989430467314,0.022553773572788902
CQL,contrastive,333,0.673296259385415,0.599428978082628,0.354899525642395,-0.24937274073546878,0.04970446331472836
CQL,contrastive,444,0.5080944265013191,0.5588651903684015,0.31031179428100586,-0.2490498627907921,0.05765536009468398
CQL,contrastive,555,0.8815338238217038,0.7123083486783884,0.46916139125823975,-0.25954073659101007,0.04001623518134824
CQL,contrastive,666,0.854505361357992,0.7132049046646334,0.47223377227783203,-0.2576488058975468,0.036629233631625104
CQL,contrastive,777,0.8461529473511019,0.6976210277002489,0.45442378520965576,-0.2555619188809043,0.03814123567536622
CQL,contrastive,888,1.0133766200999412,0.8054844665247847,0.5982465744018555,-0.24899280683861014,0.011688506959089592
CQL,contrastive,999,0.9889997697104551,0.7747872623340974,0.5568027496337891,-0.25423618788977376,0.016923038046158367
