model,bps,crisis_mult,vol_k,sharpe_model_mean,sharpe_model_std,sharpe_em_mean,sharpe_em_std,margin_mean,wins_vs_em
C+ (hybrid z-only),1.0,5.0,0.0,-0.3804,0.0372,-0.5556,0.0601,0.1752,5
C+ (hybrid z-only),5.0,5.0,0.0,-0.5779,0.038,-0.5813,0.0631,0.0034,2
C+ (hybrid z-only),0.5,1.0,0.5,-0.3473,0.0377,-0.5515,0.0602,0.2042,5
C+ (hybrid z-only),0.5,1.0,1.0,-0.3395,0.0378,-0.5508,0.0602,0.2113,5
C+ (hybrid z-only),0.5,1.0,2.0,-0.3364,0.0378,-0.5505,0.0602,0.2142,5
C+ (hybrid z-only),1.0,1.0,0.5,-0.3635,0.0375,-0.5538,0.0601,0.1903,5
C+ (hybrid z-only),1.0,1.0,1.0,-0.348,0.0376,-0.5524,0.0601,0.2044,5
C+ (hybrid z-only),1.0,1.0,2.0,-0.3417,0.0376,-0.5519,0.0601,0.2102,5
C+ (hybrid z-only),2.0,1.0,0.5,-0.3959,0.0372,-0.5584,0.0602,0.1624,5
C+ (hybrid z-only),2.0,1.0,1.0,-0.365,0.0373,-0.5556,0.0601,0.1906,5
C+ (hybrid z-only),2.0,1.0,2.0,-0.3524,0.0373,-0.5546,0.0601,0.2021,5
C+ (hybrid z-only),5.0,1.0,0.5,-0.4932,0.0372,-0.5721,0.0615,0.0789,5
C+ (hybrid z-only),5.0,1.0,1.0,-0.416,0.0369,-0.5653,0.0606,0.1493,5
C+ (hybrid z-only),5.0,1.0,2.0,-0.3845,0.0369,-0.5627,0.0602,0.1781,5
C+ (hybrid z+macro),0.0,1.0,0.0,-0.26,0.0385,-0.5041,0.0603,0.2441,5
C+ (hybrid z+macro),0.5,1.0,0.0,-0.3011,0.0389,-0.5071,0.0603,0.206,5
C+ (hybrid z+macro),1.0,1.0,0.0,-0.3421,0.0394,-0.5101,0.0603,0.168,5
C+ (hybrid z+macro),2.0,1.0,0.0,-0.4243,0.0405,-0.5162,0.0605,0.0919,5
C+ (hybrid z+macro),5.0,1.0,0.0,-0.6705,0.0445,-0.5344,0.0631,-0.1361,0
C+ (hybrid z+macro),10.0,1.0,0.0,-1.0797,0.0529,-0.5647,0.0723,-0.515,0
C+ (hybrid z+macro),1.0,5.0,0.0,-0.3438,0.0395,-0.5105,0.0602,0.1668,5
C+ (hybrid z+macro),5.0,5.0,0.0,-0.6787,0.0457,-0.5363,0.0631,-0.1424,0
C+ (hybrid z+macro),0.5,1.0,0.5,-0.2879,0.0388,-0.5064,0.0603,0.2185,5
C+ (hybrid z+macro),0.5,1.0,1.0,-0.2759,0.0387,-0.5057,0.0603,0.2298,5
C+ (hybrid z+macro),0.5,1.0,2.0,-0.2705,0.0387,-0.5054,0.0603,0.2349,5
C+ (hybrid z+macro),1.0,1.0,0.5,-0.3158,0.0392,-0.5087,0.0602,0.1929,5
C+ (hybrid z+macro),1.0,1.0,1.0,-0.2917,0.039,-0.5073,0.0602,0.2156,5
C+ (hybrid z+macro),1.0,1.0,2.0,-0.281,0.039,-0.5068,0.0602,0.2258,5
C+ (hybrid z+macro),2.0,1.0,0.5,-0.3717,0.0401,-0.5133,0.0603,0.1416,5
C+ (hybrid z+macro),2.0,1.0,1.0,-0.3234,0.0397,-0.5106,0.0602,0.1871,5
C+ (hybrid z+macro),2.0,1.0,2.0,-0.302,0.0395,-0.5095,0.0602,0.2075,5
C+ (hybrid z+macro),5.0,1.0,0.5,-0.5392,0.0431,-0.5271,0.0616,-0.012,2
C+ (hybrid z+macro),5.0,1.0,1.0,-0.4186,0.0419,-0.5203,0.0606,0.1018,5
C+ (hybrid z+macro),5.0,1.0,2.0,-0.3649,0.0415,-0.5177,0.0603,0.1527,5
